category,Wiatr w m/s
1.12.2012,1.1
2.12.2012,0.7
3.12.2012,1.8
4.12.2012,0.8
5.12.2012,1.2
6.12.2012,2.0
7.12.2012,1.2
8.12.2012,0.6
9.12.2012,0.9
10.12.2012,0.7
11.12.2012,1.1
12.12.2012,0.8
13.12.2012,0.9
14.12.2012,1.9
15.12.2012,2.8
16.12.2012,1.2
17.12.2012,0.9
18.12.2012,0.5
19.12.2012,1.3
20.12.2012,0.4
21.12.2012,0.6
22.12.2012,0.5
23.12.2012,0.6
24.12.2012,2.1
25.12.2012,1.0
26.12.2012,1.7
27.12.2012,3.0
28.12.2012,1.2
29.12.2012,0.8
30.12.2012,1.1
31.12.2012,1.9
1.6.2012,1.5
2.6.2012,2.6
3.6.2012,1.7
4.6.2012,1.3
5.6.2012,0.8
6.6.2012,1.2
7.6.2012,2.0
8.6.2012,1.2
9.6.2012,0.6
10.6.2012,1.3
11.6.2012,0.5
12.6.2012,1.0
13.6.2012,1.8
14.6.2012,1.0
15.6.2012,1.9
16.6.2012,1.4
17.6.2012,1.2
18.6.2012,1.0
19.6.2012,1.0
20.6.2012,1.2
21.6.2012,2.0
22.6.2012,1.2
23.6.2012,1.3
24.6.2012,1.3
25.6.2012,1.5
26.6.2012,2.1
27.6.2012,1.9
28.6.2012,1.2
29.6.2012,1.2
30.6.2012,1.0
1.3.2012,1.3
2.3.2012,2.5
3.3.2012,1.4
4.3.2012,1.2
5.3.2012,1.2
6.3.2012,1.4
7.3.2012,1.3
8.3.2012,1.2
9.3.2012,1.4
10.3.2012,2.1
11.3.2012,3.0
12.3.2012,1.0
13.3.2012,1.7
14.3.2012,2.1
15.3.2012,1.4
16.3.2012,1.7
17.3.2012,1.2
18.3.2012,1.5
19.3.2012,1.8
20.3.2012,2.2
21.3.2012,1.9
22.3.2012,1.2
23.3.2012,1.2
24.3.2012,1.7
25.3.2012,2.7
26.3.2012,1.5
27.3.2012,2.7
28.3.2012,2.4
29.3.2012,3.3
30.3.2012,2.5
31.3.2012,4.5
1.2.2012,0.9
2.2.2012,0.9
3.2.2012,0.7
4.2.2012,1.4
5.2.2012,1.3
6.2.2012,1.2
7.2.2012,1.4
8.2.2012,0.7
9.2.2012,1.0
10.2.2012,0.9
11.2.2012,0.8
12.2.2012,1.0
13.2.2012,1.2
14.2.2012,0.8
15.2.2012,2.8
16.2.2012,1.4
17.2.2012,2.1
18.2.2012,1.8
19.2.2012,1.6
20.2.2012,1.6
21.2.2012,1.4
22.2.2012,1.3
