Rok,Przyczyny zdarzeń,Turystyka piesza,Rower,Skitury,Jazda na rowerze,Wspinaczka górska,Wspinaczka jaskiniowa,Kanioning górski,Paralotnia,Niepotrzebny alarm,Inny,Miesiąc,opady_mm,wiatr_m_s,min_temp,max_temp
2021, upadek (np. potknięcie się),394.0,3.0,31.0,3.0,2.0,1.0,,,,1.0,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, spaść z wysokości,41.0,,,1.0,12.0,,,,,1.0,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, zgubić się,48.0,,2.0,,3.0,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, spadający kamień / lód,8.0,,,,3.0,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, lawina,5.0,,4.0,,1.0,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, uderzenie pioruna,,,,,,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, niska temperatura,12.0,,1.0,,,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, wysoka temperatura,4.0,,,,,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, zachorować,171.0,,,1.0,1.0,,,,,9.0,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, brak umiejętności,109.0,,4.0,,7.0,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, niewystarczający sprzęt,59.0,,2.0,,2.0,,,,,,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, Inny,137.0,,9.0,1.0,8.0,1.0,,,,12.0,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2021, nie dotyczy,31.0,,1.0,,1.0,,,,3.0,8.0,1,1.8361290322580646,1.729032258064516,-7.387096774193548,0.18709677419354842
2020, upadek (np. potknięcie się),280.0,2.0,5.0,4.0,2.0,1.0,,,,6.0,1,,,,
2020, spaść z wysokości,47.0,,1.0,,13.0,,,,,4.0,1,,,,
2020, zgubić się,33.0,,,,3.0,,,,,,1,,,,
2020, spadający kamień / lód,5.0,,,,2.0,,,,,,1,,,,
2020, lawina,2.0,,,,,,,,,,1,,,,
2020, uderzenie pioruna,,,,,,,,,,,1,,,,
2020, niska temperatura,5.0,,,,,,,,,1.0,1,,,,
2020, wysoka temperatura,5.0,,,,,,,,,,1,,,,
2020, zachorować,87.0,1.0,,,1.0,,,,,8.0,1,,,,
2020, brak umiejętności,66.0,,,,9.0,2.0,,,,2.0,1,,,,
2020, niewystarczający sprzęt,40.0,,,,4.0,,,,,,1,,,,
2020, Inny,78.0,1.0,2.0,1.0,2.0,,,,1.0,13.0,1,,,,
2020, nie dotyczy,16.0,,,,,,,,2.0,8.0,1,,,,
2019, upadek (np. potknięcie się),270.0,2.0,17.0,1.0,2.0,,,,,3.0,1,2.7283870967741937,1.7935483870967743,-9.161290322580646,-1.3161290322580643
