Rok,Miesiąc,Data,Status,Temperatura dzienna,Temperatura nocna,Ciśnienie,Wiatr,Opady
2012,styczen,01-01-2012,niebo niewidoczne,11,-1,1024,39,0mm
2012,styczen,02-01-2012,niebo niewidoczne,9,5,1022,31,0mm
2012,styczen,03-01-2012,niebo niewidoczne,7,3,1028,23,0mm
2012,styczen,04-01-2012,zachmurzenie małe,4,0,1026,60,0.7mm
2012,styczen,05-01-2012,niebo niewidoczne,5,2,1012,74,12.8mm
2012,styczen,06-01-2012,niebo niewidoczne,5,1,1022,51,0.2mm
2012,styczen,07-01-2012,niebo niewidoczne,5,1,1021,31,1.0mm
2012,styczen,08-01-2012,pochmurnie z przejaśnieniami,5,1,1012,42,0.1mm
2012,styczen,09-01-2012,niebo niewidoczne,5,3,1004,43,0.3mm
2012,styczen,10-01-2012,niebo niewidoczne,1,0,1015,34,5.6mm
2012,styczen,11-01-2012,niebo niewidoczne,3,-2,1018,32,0.3mm
2012,styczen,12-01-2012,niebo niewidoczne,3,-1,1019,35,0.3mm
2012,styczen,13-01-2012,niebo niewidoczne,4,2,1017,41,0.2mm
2012,styczen,14-01-2012,niebo niewidoczne,3,-2,1020,44,0.5mm
2012,styczen,15-01-2012,niebo niewidoczne,2,0,1010,65,0.8mm
2012,styczen,16-01-2012,niebo niewidoczne,2,0,1000,40,1.4mm
2012,styczen,17-01-2012,niebo niewidoczne,1,-1,992,38,6.3mm
2012,styczen,18-01-2012,niebo niewidoczne,2,-4,989,36,8.4mm
2012,styczen,19-01-2012,niebo niewidoczne,-1,-4,1003,32,14.7mm
2012,styczen,20-01-2012,niebo niewidoczne,-3,-8,1012,36,5.5mm
2012,styczen,21-01-2012,niebo niewidoczne,-3,-6,1015,31,3.9mm
2012,styczen,22-01-2012,niebo niewidoczne,1,-4,1023,24,0mm
2012,styczen,23-01-2012,niebo niewidoczne,2,-3,1032,26,0mm
2012,styczen,24-01-2012,pochmurnie z przejaśnieniami,2,-5,1035,25,0mm
2012,styczen,25-01-2012,pochmurnie z przejaśnieniami,0,-7,1030,21,0mm
2012,styczen,26-01-2012,niebo niewidoczne,-3,-10,1019,22,0.1mm
2012,styczen,27-01-2012,niebo niewidoczne,-4,-11,1018,31,0mm
2012,styczen,28-01-2012,niebo niewidoczne,-4,-10,1022,31,0.8mm
2012,styczen,29-01-2012,pochmurnie,-4,-12,1024,19,0mm
2012,styczen,30-01-2012,niebo niewidoczne,-2,-8,1010,47,6.0mm
2012,styczen,31-01-2012,niebo niewidoczne,-2,-4,1016,50,10.7mm
2012,luty,01-02-2012,niebo niewidoczne,-1,-2,1012,70,16.8mm
2012,luty,02-02-2012,niebo niewidoczne,-1,-4,1012,59,17.0mm
2012,luty,03-02-2012,niebo niewidoczne,0,-9,1017,60,17.7mm
2012,luty,04-02-2012,niebo niewidoczne,-1,-8,1024,89,25.6mm
2012,luty,05-02-2012,niebo niewidoczne,-9,-15,1036,46,2.8mm
2012,luty,06-02-2012,niebo niewidoczne,-7,-16,1040,20,0mm
2012,luty,07-02-2012,częściowe zachmurzenie,-6,-16,1042,21,0mm
2012,luty,08-02-2012,częściowe zachmurzenie,-4,-13,1045,24,0mm
2012,luty,09-02-2012,zachmurzenie małe,-2,-12,1038,29,0mm
2012,luty,10-02-2012,pochmurnie z przejaśnieniami,-1,-12,1037,24,0mm
2012,luty,11-02-2012,niebo niewidoczne,1,-9,1028,32,3.2mm
2012,luty,12-02-2012,niebo niewidoczne,0,-7,1038,33,5.4mm
2012,luty,13-02-2012,niebo niewidoczne,1,-8,1036,21,0mm
2012,luty,14-02-2012,niebo niewidoczne,0,-5,1037,23,0mm
2012,luty,15-02-2012,częściowe zachmurzenie,2,-4,1032,21,0mm
2012,luty,16-02-2012,pochmurnie z przejaśnieniami,3,-3,1026,24,0mm
2012,luty,17-02-2012,niebo niewidoczne,5,-2,1022,59,5.3mm
2012,luty,18-02-2012,niebo niewidoczne,6,3,1016,72,11.6mm
2012,luty,19-02-2012,niebo niewidoczne,4,-3,1012,55,7.6mm
2012,luty,20-02-2012,niebo niewidoczne,4,-6,1019,64,0.1mm
2012,luty,21-02-2012,niebo niewidoczne,4,3,1012,59,1.7mm
2012,luty,22-02-2012,pochmurnie,4,-1,1017,22,0.1mm
2012,luty,23-02-2012,niebo niewidoczne,5,-1,1016,31,0mm
2012,luty,24-02-2012,niebo niewidoczne,6,3,1006,37,3.2mm
2012,luty,25-02-2012,niebo niewidoczne,2,-6,996,52,5.6mm
2012,luty,26-02-2012,niebo niewidoczne,-3,-6,1012,41,3.5mm
2012,luty,27-02-2012,niebo niewidoczne,-4,-7,1024,36,0.3mm
2012,luty,28-02-2012,niebo niewidoczne,0,-8,1028,17,0mm
2012,marzec,01-03-2012,bezchmurnie,4,-5,1025,20,0mm
2012,marzec,02-03-2012,częściowe zachmurzenie,6,-3,1021,17,0mm
2012,marzec,03-03-2012,pochmurnie,4,-3,1017,24,0mm
2012,marzec,04-03-2012,bezchmurnie,6,-2,1011,39,0mm
2012,marzec,05-03-2012,niebo niewidoczne,0,-3,1008,42,0mm
2012,marzec,06-03-2012,niebo niewidoczne,0,-4,1006,32,0.1mm
2012,marzec,07-03-2012,niebo niewidoczne,1,-4,1002,46,0mm
2012,marzec,08-03-2012,niebo niewidoczne,4,0,1002,46,0.1mm
2012,marzec,09-03-2012,niebo niewidoczne,6,4,996,58,10.8mm
2012,marzec,10-03-2012,pochmurnie,9,4,996,54,1.3mm
2012,marzec,11-03-2012,niebo niewidoczne,3,-6,996,68,1.1mm
2012,marzec,12-03-2012,częściowe zachmurzenie,0,-6,1014,40,0mm
2012,marzec,13-03-2012,niebo niewidoczne,5,1,1013,68,0.8mm
2012,marzec,14-03-2012,niebo niewidoczne,9,4,1000,59,0mm
2012,marzec,15-03-2012,niebo niewidoczne,0,-2,1012,49,0.1mm
2012,marzec,16-03-2012,niebo niewidoczne,-1,-5,1023,33,2.2mm
2012,marzec,17-03-2012,pochmurnie,4,-6,1024,29,0mm
2012,marzec,18-03-2012,niebo niewidoczne,8,0,1020,29,0mm
2012,marzec,19-03-2012,pochmurnie,9,0,1018,24,0mm
2012,marzec,20-03-2012,niebo niewidoczne,10,3,1016,21,0mm
2012,marzec,21-03-2012,niebo niewidoczne,6,4,1016,23,1.3mm
2012,marzec,22-03-2012,niebo niewidoczne,9,1,1015,25,0mm
2012,marzec,23-03-2012,niebo niewidoczne,13,4,1013,41,0mm
2012,marzec,24-03-2012,niebo niewidoczne,13,7,1010,45,0mm
2012,marzec,25-03-2012,niebo niewidoczne,9,4,1006,40,3.0mm
2012,marzec,26-03-2012,niebo niewidoczne,7,3,1007,42,2.1mm
2012,marzec,27-03-2012,niebo niewidoczne,3,-5,1002,79,7.1mm
2012,marzec,28-03-2012,niebo niewidoczne,-3,-7,1017,89,8.6mm
2012,marzec,29-03-2012,niebo niewidoczne,1,-11,1023,41,0.2mm
2012,marzec,30-03-2012,niebo niewidoczne,6,-1,1016,43,2.9mm
2012,marzec,31-03-2012,pochmurnie z przejaśnieniami,9,3,1006,40,2.4mm
2012,kwiecien,01-04-2012,niebo niewidoczne,7,3,1001,30,0.4mm
