Sprzedaż biletów wstępu w roku 2013,,,,,,,,,,,,,,,
,styczeń,luty,marzec,kwiecień,maj,czerwiec,lipiec,sierpień,wrzesień,październik,listopad,grudzień,Razem bilety,,
,,,,,,,,,,,,,normalne,ulgowe,razem
Ł.Polana,9743,13226,4055,11241,42785,53546,139238,173884,86078,40302,12137,13146,374082,225299,599381
Wierch Poroniec,,,,195,1685,2325,4895,7238,3528,,,,10397,9469,19866
Zazadnia,,,,322,2061,2243,8987,10869,4222,,,,16781,11923,28704
Cyrhla,,,,208,1727,1598,5244,7367,2199,,,,10364,7979,18343
Sucha Woda,,,,533,1626,1780,5713,8939,2685,,,,13084,8192,21276
Olczyska,,,,300,1795,1813,6208,8241,2714,,,,12956,8115,21071
Nosal,,,,522,2919,2490,9842,12490,4454,,,,19395,13322,32717
Jaworzynka,2057,3025,2119,3518,14182,15691,49143,60671,28527,13119,3164,2327,126988,70555,197543
Goryczkowa,812,1552,1499,1468,4016,4179,21022,24869,10734,3974,659,667,49222,26229,75451
Kalatówki,3704,5351,2975,6109,12694,12567,38476,44509,24151,11823,3313,3319,100059,68932,168991
Dol.Białego,2034,2952,1234,1474,6649,7028,19125,23677,9688,4416,1419,562,47459,32799,80258
Dol. Strążyska,5204,7568,3263,4448,16272,18038,38432,42894,19539,10508,3732,3816,97962,75752,173714
Mała Łąka,,,568,930,3987,3430,13731,17629,7199,3274,634,581,32565,19398,51963
Staników Źleb,,,,,,107,361,542,,,,,625,385,1010
Kościeliska,12366,17597,7341,13607,46742,53245,103466,118777,53216,28929,8847,8325,279006,193452,472458
Razem,35920,51271,23054,44875,159140,180080,463883,562596,258934,116345,33905,32743,1190945,771801,1962746
Bilety 7 dniowe,94,165,186,482,506,1795,7584,9796,3847,272,79,67,15008,9865,24873
RAZEM,36014,51436,23240,45357,159646,181875,471467,572392,262781,116617,33984,32810,1205953,781666,1987619
Bilety 7 dniowe*6 dni,564,990,1116,2892,3036,10770,45504,58776,23082,1632,474,402,90048,59190,149238
OGÓŁEM,36484,52261,24170,47767,162176,190850,509387,621372,282016,117977,34379,33145,1280993,830991,2111984
Kasprowy Wierch,30709,43029,27394,30170,29576,26444,63658,78180,46193,35816,13405,17791,,,442365
Dolina Chochołowska,9473,5982,3087,17799,20459,14344,40317,52450,22571,10131,2902,3106,130113,72511,202624
Dolina Lejowa,,,,,620,322,2156,3302,907,,,,4213,3094,7307
RAZEM,76666,101272,54651,95736,212831,231960,615518,755304,351687,163924,50686,54042,1415319,906596,2764280
Sprzedaż biletów wstępu w roku 2014,,,,,,,,,,,,,,,
,styczeń,luty,marzec,kwiecień,maj,czerwiec,lipiec,sierpień,wrzesień,październik,listopad,grudzień,Razem bilety,,
,,,,,,,,,,do 19,,,normalne,ulgowe,razem
Ł.Polana,15898,22923,16711,15107,52304,80370,150847,190344,93700,49222,19752,14986,465756,256408,722164
Wierch Poroniec,,,,201,3342,4776,8175,7831,3172,,,,12647,14850,27497
Zazadnia,,,,157,2387,3338,8745,11542,4154,,,,17237,13086,30323
Cyrhla,,,,504,1156,2098,4914,5664,2231,,,,9782,6785,16567
Sucha Woda,,,,489,1424,2087,5189,7858,2563,,,,11759,7851,19610
Olczyska,,,,211,1273,1956,4449,5173,1540,,,,9484,5118,14602
Nosal,,,,548,2624,3909,11319,12412,4459,,,,21440,13831,35271
Jaworzynka,3166,4805,3970,3795,13083,21481,42928,52065,28475,13011,5020,2688,127823,66664,194487
Goryczkowa,930,1516,1293,459,2651,3313,9562,18242,8131,3520,1176,406,34090,17109,51199
Kalatówki,4501,6449,5892,5797,11402,17621,35834,40308,22568,11573,4832,3019,101081,68715,169796
Dol.Białego,2032,3831,1831,2496,6410,8960,18384,19619,9385,4258,1855,1494,48287,32268,80555
Dol. Strążyska,5357,8467,4272,4628,15294,21004,35735,37723,19503,10584,4834,3938,97293,74046,171339
Mała Łąka,826,1490,392,823,2683,5449,11002,13547,6589,2890,1103,582,30085,17291,47376
Staników Źleb,,,,,,271,1115,1358,,,,,1726,1018,2744
Kościeliska,14266,21552,13460,12030,37613,55562,95773,99231,49843,28251,11322,9022,269527,178398,447925
Razem,46976,71033,47821,47245,153646,232195,443971,522917,256313,123309,49894,36135,1258017,773438,2031455
Bilety 7 dniowe,70,214,111,182,316,114,5660,7502,2940,287,55,134,10729,6856,17585
RAZEM,47046,71247,47932,47427,153962,232309,449631,530419,259253,123596,49949,36269,1268746,780294,2049040
Bilety 7 dniowe*6 dni,420,1284,666,1092,1896,684,33960,45012,17640,1722,330,804,64374,41136,105510
OGÓŁEM,47396,72317,48487,48337,155542,232879,477931,567929,273953,125031,50224,36939,1322391,814574,2136965
Kasprowy Wierch,31932,41543,29496,24356,25559,33159,63919,85029,51417,33897,11460,20572,,,452339
Dolina Chochołowska,6388,6545,18757,13060,18502,18051,36784,43889,21345,10665,4902,3645,132924,69609,202533
Dolina Lejowa,,,,,,,,,,,,,,,
RAZEM,85716,120405,96740,85753,199603,284089,578634,696847,346715,169593,66586,61156,1455315,884183,2791837
